"资产类别","Asset Category"
"选择一个资产类别","Choose a category of assets"
"资产预览","Asset Previews"
"资产预览","Preview of assets"
"NodeFX图书馆","NodeFX Library"
"设置NodeFX库","Setup NodeFX Library"
"复制材料","Copy Material"
"從資料夾名稱動態生成資產類別清單","從資料夾名稱動態生成資產類別清單"
"更新资产缩略图","更新资产缩略图"
"从资产库导入选定的资产到场景中","从资产库导入选定的资产到场景中"
"导入资产","导入资产"
"材质分类","Shader Category"
"选择资产类别来过滤显示的资产","选择资产类别来过滤显示的资产"
"19 _sfgw89_reroute_us64_001","19_sfgw89_Reroute_us64_001"
"19 _sfgw89_reroute_us64_002","19_sfgw89_Reroute_us64_002"
"从场景中删除指定的Shader节点，并清理重新路由节点，重新连接节点","从场景中删除指定的Shader Node，并清理Reroute节点，重新连接节点"
"删除Shader","删除Shader"
"滴管材料收集器","Eyedropper Material Picker"
"从场景中的物体中选择一个材质","Pick a material from an object in the scene"
"NodeGroupMaterial","NodeGroupMaterial"
"节点操作","Node Ops"
"节点名称","A Node Name"
"B节点名称","B Node Name"
"操作类型","Ops Type"
"打开文件","Open Documents"
"文档","Documents"
"打开网站","Open Website"
"网站","Website"
"在N面板中显示一个面板，用于快速访问黑鹿工作室的资源","Displays a panel in the N panel for quick access to BlackDeer Studio's resources"
"信息","Info"
"安装NodeFX库:","Install NodeFX Library:"
"在n面板顯示資產庫","在N面板顯示資產庫"
"节点外汇","Node FX"
"添加","ADD"
"删除","REMOVE"
"请切换到对象模式","Please switch to Object Mode"
"选择材料","Pick Material"
"分配","Assign"
"选择","Select"
"取消选择","Deselect"
"输入:","Inputs:"
"请选择一个对象","Please select an object"